sentence_id,sentence
HCH_006_002_000001,太宗英文皇帝，諱窩闊台，太祖第三子。
HCH_006_002_000002,母曰光獻皇后，弘吉剌氏。
HCH_006_002_000003,太祖伐金、定西域，帝攻城略地之功居多。
HCH_006_002_000004,太祖崩，自霍博之地來會喪。
HCH_006_002_000005,元年己丑夏，至忽魯班雪不只之地。
HCH_006_002_000006,皇弟拖雷來見。
HCH_006_002_000007,秋八月己未，諸王百官大會于怯綠連河曲雕阿蘭之地，以太祖遺詔即皇帝位于庫鐵烏阿剌里。
HCH_006_002_000008,始立朝儀，皇族尊屬皆拜。
HCH_006_002_000009,頒大札撤。
HCH_006_002_000010,金遣阿虎帶來歸太祖之賵，帝曰：「汝主久不降，使先帝老于兵間，吾豈能忘也，賵何為哉！」却之。
HCH_006_002_000011,遂議伐金。
HCH_006_002_000012,敕蒙古民有馬百者輸牝馬一，牛百者輸牸牛一，羊百者輸羒羊一，為永制。
HCH_006_002_000013,始置倉廪，立驛傳。
HCH_006_002_000014,命河北漢民以戶計，出賦調，耶律楚材主之；西域人以丁計，出賦調，麻合沒的滑剌西迷主之。
HCH_006_002_000015,印度國主、木羅夷國主來朝。
HCH_006_002_000016,西域伊思八剌納城酋長來降。
HCH_006_002_000017,是歲，金復遣使來聘。
HCH_006_002_000018,不受。
HCH_006_002_000019,二年庚寅春正月，詔自今以前事勿問。
HCH_006_002_000020,定諸路課稅，酒課驗實息十取一，雜稅三十取一。
HCH_006_002_000021,是春，帝與拖雷獵于斡兒寒河，遂遣兵圍京兆。
HCH_006_002_000022,金主率師來援，敗之，尋拔其城。
HCH_006_002_000023,夏，避暑于塔密兒河。
HCH_006_002_000024,朶忽魯及金兵戰，敗績，命速不台援之。
HCH_006_002_000025,秋七月，帝自將南伐，皇弟拖雷、皇姪蒙哥率師從，拔天成等堡，遂渡河攻鳳翔。
HCH_006_002_000026,冬十一月，始置十路徵收課稅使，以陳時可、趙昉使燕京，劉中、劉桓使宣德，周立和、王貞使西京，呂振、劉子振使太原，楊簡、高廷英使平陽，王晉、賈從使真定，張瑜、王銳使東平，王德亨、侯顯使北京，夾谷永、程泰使平州，田木西、李天翼使濟南。
HCH_006_002_000027,是月，師攻潼關、藍關，不克。
HCH_006_002_000028,十二月，拔天勝寨及韓城、蒲城。
HCH_006_002_000029,三年辛卯春二月，克鳳翔，攻洛陽、河中諸城，下之。
HCH_006_002_000030,夏五月，避暑于九十九泉。
