sentence_id,text,label
HCH_006_002_000001,太宗,PER
HCH_006_002_000001,英文皇帝,PER
HCH_006_002_000001,窩闊台,PER
HCH_006_002_000001,太祖,PER
HCH_006_002_000002,光獻皇后,PER
HCH_006_002_000002,弘吉剌氏,PER
HCH_006_002_000003,太祖,PER
HCH_006_002_000003,金,ORG
HCH_006_002_000003,西域,ORG
HCH_006_002_000003,帝,PER
HCH_006_002_000004,太祖,PER
HCH_006_002_000004,霍博,LOC
HCH_006_002_000005,忽魯班,ORG
HCH_006_002_000006,皇,PER
HCH_006_002_000006,拖雷,PER
HCH_006_002_000007,怯綠連河曲,LOC
HCH_006_002_000007,雕阿蘭,LOC
HCH_006_002_000007,太祖,PER
HCH_006_002_000007,庫,LOC
HCH_006_002_000010,金,ORG
HCH_006_002_000010,阿虎帶,PER
HCH_006_002_000010,太祖,PER
HCH_006_002_000010,帝,PER
HCH_006_002_000011,金,ORG
HCH_006_002_000012,蒙古,ORG
HCH_006_002_000014,河北,LOC
HCH_006_002_000014,耶律楚材,PER
HCH_006_002_000014,西域,ORG
HCH_006_002_000014,麻合沒的,PER
HCH_006_002_000014,滑剌西迷,PER
HCH_006_002_000015,印度,ORG
HCH_006_002_000015,木羅夷,ORG
HCH_006_002_000016,西域,ORG
HCH_006_002_000016,伊思,ORG
HCH_006_002_000017,金,ORG
HCH_006_002_000021,帝,PER
HCH_006_002_000021,拖雷,PER
HCH_006_002_000021,斡,LOC
HCH_006_002_000021,京兆,LOC
HCH_006_002_000022,金,ORG
HCH_006_002_000023,塔,LOC
HCH_006_002_000024,忽魯,ORG
HCH_006_002_000024,金,ORG
HCH_006_002_000024,速不台,PER
HCH_006_002_000025,帝,PER
HCH_006_002_000025,皇弟,TITLE
HCH_006_002_000025,拖雷,PER
HCH_006_002_000025,皇,TITLE
HCH_006_002_000025,蒙哥,PER
HCH_006_002_000025,天成,LOC
HCH_006_002_000025,鳳翔,LOC
HCH_006_002_000026,陳時可,PER
HCH_006_002_000026,趙昉,PER
HCH_006_002_000026,燕京,LOC
HCH_006_002_000026,劉中,PER
HCH_006_002_000026,劉桓,PER
HCH_006_002_000026,宣德,LOC
HCH_006_002_000026,周立和,PER
HCH_006_002_000026,王貞,PER
HCH_006_002_000026,西京,LOC
HCH_006_002_000026,呂振,PER
HCH_006_002_000026,劉子振,PER
HCH_006_002_000026,太原,LOC
HCH_006_002_000026,楊簡,PER
HCH_006_002_000026,高廷英,PER
HCH_006_002_000026,平陽,LOC
HCH_006_002_000026,王晉,PER
HCH_006_002_000026,賈從,PER
HCH_006_002_000026,真定,LOC
HCH_006_002_000026,張瑜,PER
HCH_006_002_000026,王銳,PER
HCH_006_002_000026,東平,LOC
HCH_006_002_000026,王德亨,PER
HCH_006_002_000026,侯顯,PER
HCH_006_002_000026,北京,LOC
HCH_006_002_000026,夾谷永,PER
HCH_006_002_000026,程泰,PER
HCH_006_002_000026,平州,LOC
HCH_006_002_000026,田木西,PER
HCH_006_002_000026,李天翼,PER
HCH_006_002_000026,濟南,LOC
HCH_006_002_000027,潼關,LOC
HCH_006_002_000027,藍關,LOC
HCH_006_002_000028,天勝寨,LOC
HCH_006_002_000028,韓城,LOC
HCH_006_002_000028,蒲城,LOC
HCH_006_002_000029,鳳翔,LOC
HCH_006_002_000029,洛陽,LOC
HCH_006_002_000029,河中,LOC
HCH_006_002_000031,拖雷,PER
HCH_006_002_000031,寶鷄,LOC
HCH_006_002_000032,搠不罕,PER
HCH_006_002_000032,宋,ORG
HCH_006_002_000032,宋,ORG
HCH_006_002_000033,李國昌,PER
HCH_006_002_000033,宋,ORG
HCH_006_002_000034,雲中,LOC
HCH_006_002_000036,耶律楚材,PER
HCH_006_002_000036,中書令,TITLE
HCH_006_002_000036,粘合重山,PER
HCH_006_002_000036,左丞相,TITLE
HCH_006_002_000036,鎮海,PER
HCH_006_002_000036,右丞相,TITLE
HCH_006_002_000037,高麗,ORG
HCH_006_002_000037,使者,TITLE
HCH_006_002_000037,撒禮塔,PER
HCH_006_002_000038,高麗王㬚,PER
HCH_006_002_000038,懷安公,PER
HCH_006_002_000039,撒禮塔,PER
HCH_006_002_000040,帝,PER
HCH_006_002_000040,河中,LOC
HCH_006_002_000042,帝,PER
HCH_006_002_000042,白坡,LOC
HCH_006_002_000043,拖雷,PER
HCH_006_002_000043,漢江,LOC
HCH_006_002_000044,鄭州,LOC
HCH_006_002_000045,金,TITLE
HCH_006_002_000045,防城提控,TITLE
HCH_006_002_000045,馬伯堅,PER
HCH_006_002_000045,伯堅,PER
HCH_006_002_000048,新鄭,LOC
HCH_006_002_000049,拖雷,PER
HCH_006_002_000049,金,ORG
HCH_006_002_000049,鈞州,LOC
HCH_006_002_000049,三峯,LOC
HCH_006_002_000049,金,ORG
HCH_006_002_000049,蒲阿,PER
HCH_006_002_000050,帝,PER
HCH_006_002_000050,三峯,LOC
HCH_006_002_000051,鈞州,LOC
HCH_006_002_000051,金,ORG
HCH_006_002_000051,合達,PER
HCH_006_002_000052,商,LOC
HCH_006_002_000052,虢,LOC
HCH_006_002_000052,嵩,LOC
HCH_006_002_000052,汝,LOC
HCH_006_002_000052,陝,LOC
HCH_006_002_000052,洛,LOC
HCH_006_002_000052,許,LOC
HCH_006_002_000052,鄭,LOC
HCH_006_002_000052,陳,LOC
HCH_006_002_000052,亳,LOC
HCH_006_002_000052,潁,LOC
HCH_006_002_000052,壽,LOC
HCH_006_002_000052,睢,LOC
HCH_006_002_000052,永,LOC
HCH_006_002_000053,速不台,PER
HCH_006_002_000053,南京,LOC
HCH_006_002_000053,金,ORG
HCH_006_002_000053,曹王,TITLE
HCH_006_002_000053,訛可,PER
HCH_006_002_000054,速不台,PER
HCH_006_002_000054,河南,LOC
HCH_006_002_000055,居庸,LOC
HCH_006_002_000055,官山,LOC
HCH_006_002_000056,高麗,ORG
HCH_006_002_000056,江華島,LOC
HCH_006_002_000057,唐慶使,TITLE
HCH_006_002_000057,金,PER
HCH_006_002_000057,金,ORG
HCH_006_002_000058,撒禮塔,PER
HCH_006_002_000058,高麗,ORG
HCH_006_002_000059,金,ORG
HCH_006_002_000059,參政,TITLE
HCH_006_002_000059,完顏思烈,PER
