sentence_id,text,label
HCH_006_001_000001,太祖,PER
HCH_006_001_000001,皇帝,TITLE
HCH_006_001_000001,鐵木真,PER
HCH_006_001_000001,奇渥溫,PER
HCH_006_001_000002,十,NUM
HCH_006_001_000002,世祖,PER
HCH_006_001_000002,孛端叉兒,PER
HCH_006_001_000002,阿蘭果火,PER
HCH_006_001_000002,脫奔咩哩犍,PER
HCH_006_001_000002,二,NUM
HCH_006_001_000002,博寒葛答黑,PER
HCH_006_001_000002,博合覩撒里直,PER
HCH_006_001_000003,阿蘭,PER
HCH_006_001_000004,阿蘭,PER
HCH_006_001_000004,一,NUM
HCH_006_001_000004,孛端叉兒,PER
HCH_006_001_000005,孛端叉兒,PER
HCH_006_001_000006,阿蘭,PER
HCH_006_001_000006,阿蘭,PER
HCH_006_001_000007,孛端叉兒,PER
HCH_006_001_000007,八里,NUM
HCH_006_001_000008,孛端叉兒,PER
HCH_006_001_000010,十,NUM
HCH_006_001_000010,統急里忽魯,LOC
HCH_006_001_000010,孛端叉兒,PER
HCH_006_001_000011,一,NUM
HCH_006_001_000011,孛端叉兒,PER
HCH_006_001_000012,孛端叉兒,PER
HCH_006_001_000012,統急里忽魯,PER
HCH_006_001_000013,孛端叉兒,PER
HCH_006_001_000014,孛端叉兒,PER
HCH_006_001_000014,八,NUM
HCH_006_001_000014,咩撚篤敦,PER
HCH_006_001_000015,咩撚篤敦,PER
HCH_006_001_000015,莫挐倫,PER
HCH_006_001_000015,七,NUM
HCH_006_001_000016,莫挐倫,PER
HCH_006_001_000017,押剌伊而,PER
HCH_006_001_000017,莫挐倫,PER
HCH_006_001_000018,押剌伊,PER
HCH_006_001_000018,莫挐倫,PER
HCH_006_001_000019,莫挐倫,PER
HCH_006_001_000020,莫挐倫,PER
HCH_006_001_000021,六,NUM
HCH_006_001_000022,押剌伊而,PER
HCH_006_001_000022,莫挐倫,PER
HCH_006_001_000023,一,NUM
HCH_006_001_000023,海都,PER
HCH_006_001_000024,莫挐倫,PER
HCH_006_001_000024,七,NUM
HCH_006_001_000024,納真,PER
HCH_006_001_000024,八,NUM
HCH_006_001_000025,十,NUM
HCH_006_001_000025,海都,PER
HCH_006_001_000026,三,NUM
HCH_006_001_000026,納真,PER
HCH_006_001_000027,押剌伊而,PER
HCH_006_001_000028,二騎,NUM
HCH_006_001_000029,納真,PER
HCH_006_001_000030,轉一河,LOC
HCH_006_001_000032,納真,PER
HCH_006_001_000033,納真,PER
HCH_006_001_000034,一山,LOC
HCH_006_001_000034,百,NUM
HCH_006_001_000035,納真,PER
HCH_006_001_000037,登山,LOC
HCH_006_001_000037,四,NUM
HCH_006_001_000037,海都,PER
HCH_006_001_000037,八,NUM
HCH_006_001_000038,海都,PER
HCH_006_001_000038,納真,PER
HCH_006_001_000038,八,NUM
HCH_006_001_000038,怯谷,LOC
HCH_006_001_000039,海都,PER
HCH_006_001_000039,押剌伊而,PER
HCH_006_001_000040,八,NUM
HCH_006_001_000040,剌合黑河,LOC
HCH_006_001_000040,跨河,LOC
HCH_006_001_000041,四,NUM
HCH_006_001_000042,海都,PER
HCH_006_001_000042,忽兒,PER
HCH_006_001_000043,忽兒,PER
HCH_006_001_000043,敦必乃,PER
HCH_006_001_000044,敦必乃,PER
HCH_006_001_000044,葛不律寒,PER
HCH_006_001_000045,葛不律寒,PER
HCH_006_001_000045,八,NUM
HCH_006_001_000046,八,NUM
HCH_006_001_000046,也速該,PER
HCH_006_001_000047,也速該,PER
HCH_006_001_000047,至元三年十月,TME
HCH_006_001_000047,烈,PER
HCH_006_001_000047,元,PER
HCH_006_001_000047,皇帝,TITLE
HCH_006_001_000048,烈,PER
HCH_006_001_000048,塔塔兒,PER
HCH_006_001_000048,鐵木真,PER
HCH_006_001_000049,宣懿,PER
HCH_006_001_000049,太后,TITLE
HCH_006_001_000049,月倫,PER
HCH_006_001_000050,烈,PER
HCH_006_001_000050,鐵木真,PER
HCH_006_001_000051,泰赤烏部,PER
HCH_006_001_000051,烈,PER
HCH_006_001_000051,因塔兒不台,ORG
HCH_006_001_000052,烈,PER
HCH_006_001_000052,泰赤烏,PER
HCH_006_001_000053,脫端火兒真,PER
HCH_006_001_000054,脫端,PER
HCH_006_001_000055,宣懿,PER
HCH_006_001_000055,太后,TITLE
HCH_006_001_000055,半,NUM
HCH_006_001_000056,搠只,PER
HCH_006_001_000056,薩里河,LOC
HCH_006_001_000057,札木合,PER
HCH_006_001_000057,禿台察,PER
HCH_006_001_000057,玉律哥泉,LOC
HCH_006_001_000057,薩里河,LOC
HCH_006_001_000058,搠只,PER
HCH_006_001_000059,札木合,PER
HCH_006_001_000059,泰赤烏,PER
HCH_006_001_000059,三萬,NUM
HCH_006_001_000060,帝時駐軍,ORG
HCH_006_001_000060,答闌版朱思,LOC
HCH_006_001_000060,十,NUM
HCH_006_001_000060,三,NUM
HCH_006_001_000061,札木合,PER
HCH_006_001_000062,泰赤烏,PER
HCH_006_001_000063,照烈部,PER
HCH_006_001_000064,照烈,PER
HCH_006_001_000064,照烈,PER
HCH_006_001_000064,四百,NUM
HCH_006_001_000064,半,NUM
HCH_006_001_000065,帝使,TITLE
HCH_006_001_000065,照烈,PER
HCH_006_001_000065,照烈,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000066,鐵木真,PER
HCH_006_001_000066,太子,TITLE
HCH_006_001_000066,照烈,PER
HCH_006_001_000066,玉律,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000066,塔海答魯,PER
HCH_006_001_000066,泰赤烏,PER
HCH_006_001_000067,二人,NUM
HCH_006_001_000068,塔海答魯,PER
HCH_006_001_000068,中路,LOC
HCH_006_001_000068,泰,LOC
HCH_006_001_000068,赤烏,PER
HCH_006_001_000068,照烈,PER
HCH_006_001_000069,泰,PER
HCH_006_001_000070,赤老溫,PER
HCH_006_001_000070,哲別,PER
HCH_006_001_000070,若失力哥也不干,PER
HCH_006_001_000070,朵郎吉,PER
HCH_006_001_000070,若札剌兒,PER
HCH_006_001_000070,若忙兀,PER
HCH_006_001_000071,薛徹,PER
HCH_006_001_000071,大丑,PER
HCH_006_001_000071,薛徹別吉,PER
HCH_006_001_000071,斡難河,LOC
HCH_006_001_000072,薛徹別吉,PER
HCH_006_001_000072,忽兒真,PER
HCH_006_001_000072,一,NUM
HCH_006_001_000072,薛徹別吉,PER
HCH_006_001_000072,野別該,PER
HCH_006_001_000072,一,NUM
HCH_006_001_000073,忽兒真,PER
HCH_006_001_000073,野別該,PER
HCH_006_001_000073,饍者失丘兒,PER
HCH_006_001_000075,別里古台,PER
HCH_006_001_000075,播里,PER
HCH_006_001_000075,薛徹別吉,PER
HCH_006_001_000076,播里,PER
HCH_006_001_000076,別里古台,PER
HCH_006_001_000077,播里,PER
HCH_006_001_000077,別里古台,PER
HCH_006_001_000078,別里古台,PER
HCH_006_001_000078,忽兒真,PER
HCH_006_001_000078,火里真,PER
HCH_006_001_000078,二,NUM
HCH_006_001_000078,哈敦,PER
HCH_006_001_000079,薛徹別吉,PER
HCH_006_001_000079,二,NUM
HCH_006_001_000079,哈敦,PER
HCH_006_001_000080,塔塔兒,PER
HCH_006_001_000080,蔑兀真笑里徒,PER
HCH_006_001_000080,金,LOC
HCH_006_001_000080,金,LOC
HCH_006_001_000080,丞相,TITLE
HCH_006_001_000080,完顏襄,PER
HCH_006_001_000081,斡難河,LOC
HCH_006_001_000081,薛徹別吉,PER
HCH_006_001_000082,六,NUM
HCH_006_001_000082,蔑兀真笑里徒,PER
HCH_006_001_000083,六十人,NUM
HCH_006_001_000083,薛徹別吉,PER
HCH_006_001_000084,薛徹別吉,PER
HCH_006_001_000084,十人,NUM
HCH_006_001_000084,五十人,NUM
HCH_006_001_000085,薛徹別吉,PER
HCH_006_001_000085,失,PER
HCH_006_001_000085,丘,LOC
HCH_006_001_000085,兒,PER
HCH_006_001_000085,別里古台,PER
HCH_006_001_000085,沙,LOC
HCH_006_001_000085,薛徹,PER
HCH_006_001_000085,大丑,PER
HCH_006_001_000086,薛徹,PER
HCH_006_001_000086,大丑,PER
HCH_006_001_000086,帖烈徒,LOC
HCH_006_001_000086,隘,LOC
HCH_006_001_000087,烈,PER
HCH_006_001_000087,札阿紺孛,PER
HCH_006_001_000088,札阿紺孛,PER
HCH_006_001_000088,汪罕,PER
HCH_006_001_000089,汪罕,PER
HCH_006_001_000089,脫里,PER
HCH_006_001_000089,金,LOC
HCH_006_001_000089,汪罕,PER
HCH_006_001_000090,汪罕,PER
HCH_006_001_000090,忽兒札胡思盃祿,PER
HCH_006_001_000090,汪罕,PER
HCH_006_001_000091,菊兒,PER
HCH_006_001_000091,罕,PER
HCH_006_001_000091,汪罕,PER
HCH_006_001_000091,哈剌,PER
HCH_006_001_000091,溫隘,LOC
HCH_006_001_000091,百餘騎,NUM
HCH_006_001_000091,烈,PER
HCH_006_001_000092,烈,PER
HCH_006_001_000092,菊兒,PER
HCH_006_001_000092,罕,PER
HCH_006_001_000092,夏,LOC
HCH_006_001_000092,汪罕,PER
HCH_006_001_000093,汪罕,PER
HCH_006_001_000094,烈,PER
HCH_006_001_000094,汪罕,PER
HCH_006_001_000094,也力可哈剌,PER
HCH_006_001_000094,汪罕,PER
HCH_006_001_000095,乃,PER
HCH_006_001_000095,亦難赤,PER
HCH_006_001_000095,汪罕,PER
HCH_006_001_000096,汪罕,PER
HCH_006_001_000096,河西,LOC
HCH_006_001_000096,三,NUM
HCH_006_001_000098,烈,PER
HCH_006_001_000099,安置軍,ORG
HCH_006_001_000100,土兀剌河,LOC
HCH_006_001_000100,汪罕,PER
HCH_006_001_000101,蔑,LOC
HCH_006_001_000101,里,PER
HCH_006_001_000101,乞,LOC
HCH_006_001_000101,脫脫,PER
HCH_006_001_000101,莫那察山,LOC
HCH_006_001_000101,汪罕,PER
HCH_006_001_000102,汪罕,PER
HCH_006_001_000103,汪罕,PER
HCH_006_001_000103,蔑里乞,LOC
HCH_006_001_000104,脫脫,PER
HCH_006_001_000104,八,NUM
HCH_006_001_000105,汪罕,PER
HCH_006_001_000105,一,NUM
HCH_006_001_000106,乃,PER
HCH_006_001_000106,不,PER
HCH_006_001_000106,魯欲,PER
HCH_006_001_000106,欲魯,PER
HCH_006_001_000106,罕,PER
HCH_006_001_000106,汪罕,PER
HCH_006_001_000106,八石,NUM
HCH_006_001_000106,也的脫孛魯,PER
HCH_006_001_000106,百騎,NUM
HCH_006_001_000106,見軍,ORG
HCH_006_001_000106,山,LOC
HCH_006_001_000107,乃蠻,PER
HCH_006_001_000107,八,NUM
HCH_006_001_000107,二人,NUM
HCH_006_001_000108,汪罕,PER
HCH_006_001_000109,薩里河,LOC
HCH_006_001_000110,汪罕,PER
HCH_006_001_000110,土兀剌河,LOC
